date,val
13.02.2014,1580.0
14.02.2014,1687.0
15.02.2014,1603.3
16.02.2014,1579.0
17.02.2014,1599.0
18.02.2014,1595.0
19.02.2014,1550.0
20.02.2014,1400.0
21.02.2014,1495.0
22.02.2014,1425.0
23.02.2014,1450.0
24.02.2014,1409.0
25.02.2014,1230.0
26.02.2014,1362.0
27.02.2014,1417.0
28.02.2014,1372.0
01.03.2014,1415.0
02.03.2014,1415.0
03.03.2014,1600.0
04.03.2014,1569.7
05.03.2014,1526.0
06.03.2014,1530.0
07.03.2014,1477.8
08.03.2014,1484.5
09.03.2014,1470.0
10.03.2014,1490.0
11.03.2014,1498.0
12.03.2014,1524.0
13.03.2014,1537.8
14.03.2014,1538.2
15.03.2014,1550.6
16.03.2014,1510.0
17.03.2014,1524.0
18.03.2014,1505.0
19.03.2014,1550.0
20.03.2014,1515.0
21.03.2014,1528.0
22.03.2014,1494.0
23.03.2014,1477.0
24.03.2014,1495.0
25.03.2014,1500.0
26.03.2014,1495.1
27.03.2014,1449.0
28.03.2014,1330.0
29.03.2014,1251.0
30.03.2014,1221.0
31.03.2014,1237.0
01.04.2014,1280.0
02.04.2014,1109.0
03.04.2014,1188.0
04.04.2014,1138.0
05.04.2014,1158.3
06.04.2014,1180.0
07.04.2014,1175.0
08.04.2014,1168.7
09.04.2014,1133.3
10.04.2014,950.0
11.04.2014,1034.0
12.04.2014,1090.0
13.04.2014,1001.0
14.04.2014,1105.0
15.04.2014,1170.0
16.04.2014,1190.0
17.04.2014,1180.0
18.04.2014,1158.0
19.04.2014,1147.5
20.04.2014,1178.0
21.04.2014,1188.0
22.04.2014,1196.0
23.04.2014,1215.0
24.04.2014,1250.0
25.04.2014,1198.0
26.04.2014,1189.0
27.04.2014,1163.3
28.04.2014,1130.0
29.04.2014,1147.9
30.04.2014,1128.9
01.05.2014,1098.0
02.05.2014,1129.0
03.05.2014,1096.0
04.05.2014,1114.5
05.05.2014,1085.0
06.05.2014,1109.9
07.05.2014,1100.0
08.05.2014,1100.0
09.05.2014,1135.0
10.05.2014,1114.4
11.05.2014,1093.5
12.05.2014,1110.0
13.05.2014,1100.1
14.05.2014,1123.5
15.05.2014,1118.0
16.05.2014,1130.0
17.05.2014,1110.0
18.05.2014,1107.0
19.05.2014,1148.9
20.05.2014,1196.0
21.05.2014,1203.1
22.05.2014,1305.0
23.05.2014,1374.5
24.05.2014,1355.0
25.05.2014,1388.0
26.05.2014,1425.0
27.05.2014,1413.9
28.05.2014,1424.0
29.05.2014,1460.0
30.05.2014,1508.0
31.05.2014,1535.0
01.06.2014,1543.0
02.06.2014,1620.0
03.06.2014,1650.0
04.06.2014,1598.0
05.06.2014,1599.0
06.06.2014,1580.0
07.06.2014,1590.0
08.06.2014,1600.0
09.06.2014,1577.0
10.06.2014,1562.0
11.06.2014,1541.4
12.06.2014,1420.0
13.06.2014,1500.0
14.06.2014,1440.0
15.06.2014,1492.0
16.06.2014,1452.0
17.06.2014,1461.0
18.06.2014,1480.0
19.06.2014,1461.0
20.06.2014,1470.2
21.06.2014,1484.6
22.06.2014,1467.0
23.06.2014,1460.0
24.06.2014,1440.0
25.06.2014,1400.4
26.06.2014,1401.9
27.06.2014,1418.5
28.06.2014,1446.3
29.06.2014,1384.0
30.06.2014,1499.0
01.07.2014,1530.0
02.07.2014,1547.0
03.07.2014,1540.0
04.07.2014,1535.1
05.07.2014,1520.0
06.07.2014,1497.0
07.07.2014,1457.8
08.07.2014,1499.0
09.07.2014,1490.0
10.07.2014,1489.9
11.07.2014,1530.0
12.07.2014,1490.0
13.07.2014,1480.0
14.07.2014,1460.0
15.07.2014,1488.0
16.07.2014,1500.0
17.07.2014,1500.0
18.07.2014,1520.0
19.07.2014,1550.0
20.07.2014,1559.0
21.07.2014,1560.0
22.07.2014,1577.9
23.07.2014,1589.8
24.07.2014,1550.0
25.07.2014,1540.0
26.07.2014,1520.0
27.07.2014,1501.6
28.07.2014,1483.2
29.07.2014,1502.0
30.07.2014,1440.0
31.07.2014,1473.1
01.08.2014,1490.0
02.08.2014,1491.4
03.08.2014,1500.0
04.08.2014,1500.6
05.08.2014,1490.0
06.08.2014,1490.0
07.08.2014,1441.0
08.08.2014,1495.0
09.08.2014,1470.0
10.08.2014,1498.0
11.08.2014,1495.0
12.08.2014,1480.0
13.08.2014,1450.0
14.08.2014,1300.0
15.08.2014,1316.0
16.08.2014,1352.0
17.08.2014,1277.4
18.08.2014,1175.0
19.08.2014,1183.0
20.08.2014,1250.0
21.08.2014,1260.0
22.08.2014,1283.0
23.08.2014,1246.5
24.08.2014,1245.0
25.08.2014,1236.0
26.08.2014,1249.0
27.08.2014,1255.0
28.08.2014,1269.0
29.08.2014,1254.3
30.08.2014,1245.0
31.08.2014,1190.0
01.09.2014,1158.0
02.09.2014,1173.0
03.09.2014,1120.0
04.09.2014,1155.0
05.09.2014,1200.0
06.09.2014,1145.0
07.09.2014,1132.0
08.09.2014,1165.0
09.09.2014,1156.0
10.09.2014,1198.9
11.09.2014,1180.0
12.09.2014,1245.0
13.09.2014,1168.0
14.09.2014,1169.0
15.09.2014,1180.0
16.09.2014,1170.0
17.09.2014,1163.0
18.09.2014,1046.3
19.09.2014,1023.4
20.09.2014,1050.7
21.09.2014,991.2
22.09.2014,1030.0
23.09.2014,1086.0
24.09.2014,1089.0
25.09.2014,1077.7
26.09.2014,1053.0
27.09.2014,1075.0
28.09.2014,980.0
29.09.2014,1005.0
30.09.2014,1000.0
01.10.2014,1024.0
02.10.2014,995.0
03.10.2014,930.0
04.10.2014,914.3
05.10.2014,774.0
06.10.2014,871.0
07.10.2014,886.0
08.10.2014,900.0
09.10.2014,961.0
10.10.2014,925.0
11.10.2014,935.0
12.10.2014,950.0
13.10.2014,970.0
14.10.2014,1022.0
15.10.2014,1021.0
16.10.2014,984.0
17.10.2014,996.0
18.10.2014,986.0
19.10.2014,980.0
20.10.2014,971.0
21.10.2014,1000.0
22.10.2014,995.0
23.10.2014,978.7
24.10.2014,926.0
25.10.2014,929.0
26.10.2014,940.0
27.10.2014,965.0
28.10.2014,930.0
29.10.2014,918.0
30.10.2014,909.0
31.10.2014,907.3
01.11.2014,840.0
02.11.2014,845.0
03.11.2014,860.0
04.11.2014,876.0
05.11.2014,915.0
06.11.2014,923.5
07.11.2014,936.0
08.11.2014,945.0
09.11.2014,965.0
10.11.2014,1000.0
11.11.2014,990.0
12.11.2014,1135.0
13.11.2014,1148.0
14.11.2014,1085.1
15.11.2014,1082.5
16.11.2014,1040.0
17.11.2014,1064.0
18.11.2014,1055.9
19.11.2014,1031.0
20.11.2014,1003.0
21.11.2014,943.0
22.11.2014,964.0
23.11.2014,993.0
24.11.2014,1030.0
25.11.2014,1022.5
26.11.2014,1010.0
27.11.2014,1011.0
28.11.2014,1020.0
29.11.2014,1020.0
30.11.2014,1015.0
01.12.2014,1039.9
02.12.2014,1035.0
03.12.2014,1030.0
04.12.2014,1017.0
05.12.2014,1022.3
06.12.2014,1025.0
07.12.2014,1025.0
08.12.2014,1020.0
09.12.2014,1002.0
10.12.2014,980.0
11.12.2014,1000.0
12.12.2014,1022.9
13.12.2014,999.0
14.12.2014,991.0
15.12.2014,1010.0
16.12.2014,972.2
17.12.2014,951.1
18.12.2014,890.2
19.12.2014,911.0
20.12.2014,941.6
21.12.2014,910.0
22.12.2014,945.3
23.12.2014,969.9
24.12.2014,927.0
25.12.2014,915.0
26.12.2014,955.0
27.12.2014,944.0
28.12.2014,925.0
29.12.2014,923.2
30.12.2014,883.0
31.12.2014,887.5
01.01.2015,911.0
02.01.2015,899.0
03.01.2015,864.7
04.01.2015,783.0
05.01.2015,800.0
06.01.2015,858.8
07.01.2015,905.0
08.01.2015,905.8
09.01.2015,885.0
10.01.2015,849.0
11.01.2015,829.0
12.01.2015,847.9
13.01.2015,690.0
14.01.2015,570.4
15.01.2015,645.9
16.01.2015,637.0
17.01.2015,625.6
18.01.2015,634.0
19.01.2015,620.0
20.01.2015,612.2
21.01.2015,625.0
22.01.2015,646.5
23.01.2015,637.0
24.01.2015,690.0
25.01.2015,683.4
26.01.2015,740.0
27.01.2015,725.1
28.01.2015,694.8
29.01.2015,656.0
30.01.2015,670.0
31.01.2015,645.0
01.02.2015,662.0
02.02.2015,680.0
03.02.2015,671.7
04.02.2015,669.0
05.02.2015,645.0
06.02.2015,657.7
07.02.2015,668.0
08.02.2015,650.1
09.02.2015,666.2
10.02.2015,669.4
11.02.2015,671.7
12.02.2015,673.7
13.02.2015,698.0
14.02.2015,713.0
15.02.2015,696.0
16.02.2015,702.8
17.02.2015,711.8
18.02.2015,709.4
19.02.2015,712.0
20.02.2015,715.8
21.02.2015,735.7
22.02.2015,700.0
23.02.2015,715.9
24.02.2015,709.0
25.02.2015,714.0
26.02.2015,714.0
27.02.2015,736.0
28.02.2015,736.0
01.03.2015,737.0
02.03.2015,770.0
03.03.2015,746.1
04.03.2015,801.0
05.03.2015,809.0
06.03.2015,808.9
07.03.2015,828.0
08.03.2015,828.0
09.03.2015,898.9
10.03.2015,897.5
11.03.2015,899.0
12.03.2015,951.1
13.03.2015,988.3
14.03.2015,965.9
15.03.2015,965.9
16.03.2015,965.0
17.03.2015,968.0
18.03.2015,851.0
19.03.2015,896.9
20.03.2015,892.1
21.03.2015,874.6
22.03.2015,878.0
23.03.2015,876.5
24.03.2015,852.7
25.03.2015,831.7
26.03.2015,839.8
27.03.2015,829.0
28.03.2015,848.8
29.03.2015,826.0
30.03.2015,846.2
31.03.2015,839.0
01.04.2015,835.0
02.04.2015,850.0
03.04.2015,833.2
04.04.2015,841.8
05.04.2015,835.0
06.04.2015,843.0
07.04.2015,846.3
08.04.2015,803.0
09.04.2015,814.0
10.04.2015,777.3
11.04.2015,765.5
12.04.2015,784.0
13.04.2015,768.9
14.04.2015,731.7
15.04.2015,719.0
16.04.2015,760.0
17.04.2015,753.8
18.04.2015,745.8
19.04.2015,744.0
20.04.2015,740.5
21.04.2015,745.0
22.04.2015,760.0
23.04.2015,747.0
24.04.2015,736.0
25.04.2015,729.6
26.04.2015,681.9
27.04.2015,690.0
28.04.2015,698.1
29.04.2015,723.9
30.04.2015,735.5
01.05.2015,737.6
02.05.2015,744.9
03.05.2015,742.1
04.05.2015,745.0
05.05.2015,749.8
06.05.2015,746.5
07.05.2015,735.0
08.05.2015,749.9
09.05.2015,749.4
10.05.2015,740.7
11.05.2015,748.0
12.05.2015,755.0
13.05.2015,746.0
14.05.2015,748.4
15.05.2015,764.3
16.05.2015,751.0
17.05.2015,750.0
18.05.2015,739.0
19.05.2015,745.1
20.05.2015,739.0
21.05.2015,751.0
22.05.2015,760.9
23.05.2015,748.0
24.05.2015,755.0
25.05.2015,752.0
26.05.2015,758.2
27.05.2015,780.0
28.05.2015,773.0
29.05.2015,773.3
30.05.2015,762.3
31.05.2015,769.0
01.06.2015,748.0
02.06.2015,762.9
03.06.2015,744.7
04.06.2015,740.0
05.06.2015,763.0
06.06.2015,768.9
07.06.2015,755.0
08.06.2015,755.0
09.06.2015,753.8
10.06.2015,744.1
11.06.2015,749.9
12.06.2015,747.0
13.06.2015,748.9
14.06.2015,740.1
15.06.2015,731.2
16.06.2015,750.0
17.06.2015,793.0
18.06.2015,799.0
19.06.2015,808.1
20.06.2015,794.0
21.06.2015,783.9
22.06.2015,802.5
23.06.2015,794.8
24.06.2015,792.0
25.06.2015,790.0
26.06.2015,801.6
27.06.2015,809.5
28.06.2015,798.2
29.06.2015,838.8
30.06.2015,846.0
01.07.2015,839.5
02.07.2015,840.4
03.07.2015,841.0
04.07.2015,838.0
05.07.2015,855.0
06.07.2015,892.9
07.07.2015,885.0
08.07.2015,880.0
09.07.2015,922.7
10.07.2015,963.0
11.07.2015,970.0
12.07.2015,991.0
13.07.2015,939.5
14.07.2015,969.0
15.07.2015,957.0
16.07.2015,928.0
17.07.2015,950.0
18.07.2015,932.0
19.07.2015,934.1
20.07.2015,955.0
21.07.2015,957.0
22.07.2015,949.2
23.07.2015,950.0
24.07.2015,968.0
25.07.2015,959.0
26.07.2015,965.0
27.07.2015,977.8
28.07.2015,1021.0
29.07.2015,1012.1
30.07.2015,999.7
31.07.2015,1011.5
01.08.2015,997.0
02.08.2015,999.0
03.08.2015,1010.0
04.08.2015,1016.0
05.08.2015,1018.5
06.08.2015,1017.9
07.08.2015,1015.0
08.08.2015,978.5
09.08.2015,968.6
10.08.2015,966.4
11.08.2015,970.0
12.08.2015,978.0
13.08.2015,965.0
14.08.2015,980.0
15.08.2015,960.0
16.08.2015,970.0
17.08.2015,950.0
18.08.2015,931.0
19.08.2015,865.7
20.08.2015,901.6
21.08.2015,910.0
22.08.2015,890.0
23.08.2015,886.2
24.08.2015,840.0
25.08.2015,865.9
26.08.2015,879.0
27.08.2015,868.1
28.08.2015,873.0
29.08.2015,854.0
30.08.2015,872.6
31.08.2015,891.9
01.09.2015,880.0
02.09.2015,892.3
03.09.2015,893.0
04.09.2015,932.1
05.09.2015,925.2
06.09.2015,935.0
07.09.2015,949.9
08.09.2015,946.5
09.09.2015,950.0
10.09.2015,955.4
11.09.2015,968.6
12.09.2015,958.8
13.09.2015,955.3
14.09.2015,929.0
15.09.2015,915.1
16.09.2015,931.8
17.09.2015,945.0
18.09.2015,965.8
19.09.2015,950.7
20.09.2015,951.5
21.09.2015,945.0
22.09.2015,960.0
23.09.2015,970.6
24.09.2015,988.4
25.09.2015,984.0
26.09.2015,982.0
27.09.2015,977.8
28.09.2015,1003.1
29.09.2015,995.9
30.09.2015,993.3
01.10.2015,999.0
02.10.2015,995.0
03.10.2015,990.0
04.10.2015,990.0
05.10.2015,993.0
06.10.2015,1005.0
07.10.2015,999.9
08.10.2015,1008.1
09.10.2015,1008.0
10.10.2015,1000.0
11.10.2015,1004.0
12.10.2015,1008.0
13.10.2015,1008.0
14.10.2015,1010.0
15.10.2015,1011.0
16.10.2015,1043.1
17.10.2015,1051.0
18.10.2015,1050.0
19.10.2015,1027.0
20.10.2015,1052.0
21.10.2015,1060.1
22.10.2015,1067.9
23.10.2015,1090.0
24.10.2015,1090.0
25.10.2015,1140.0
26.10.2015,1148.0
27.10.2015,1166.7
28.10.2015,1170.7
29.10.2015,1230.0
30.10.2015,1268.0
31.10.2015,1220.0
01.11.2015,1240.0
02.11.2015,1320.0
03.11.2015,1538.0
04.11.2015,1530.0
05.11.2015,1516.1
06.11.2015,1400.0
07.11.2015,1445.0
08.11.2015,1440.9
09.11.2015,1493.4
10.11.2015,1340.0
11.11.2015,1267.0
12.11.2015,1366.7
13.11.2015,1320.0
14.11.2015,1330.0
15.11.2015,1318.0
16.11.2015,1291.0
17.11.2015,1328.5
18.11.2015,1307.0
19.11.2015,1285.0
20.11.2015,1237.3
21.11.2015,1269.9
22.11.2015,1254.0
23.11.2015,1257.0
24.11.2015,1249.0
25.11.2015,1286.2
26.11.2015,1397.0
27.11.2015,1434.9
28.11.2015,1419.0
29.11.2015,1436.0
30.11.2015,1516.9
01.12.2015,1472.0
02.12.2015,1469.9
03.12.2015,1474.4
04.12.2015,1473.0
05.12.2015,1500.0
06.12.2015,1539.0
07.12.2015,1575.0
08.12.2015,1562.7
09.12.2015,1669.0
10.12.2015,1674.0
11.12.2015,1798.0
12.12.2015,1680.0
13.12.2015,1700.0
14.12.2015,1760.0
15.12.2015,1849.0
16.12.2015,1810.0
17.12.2015,1885.0
18.12.2015,1863.1
19.12.2015,1929.3
20.12.2015,1849.0
21.12.2015,1857.6
22.12.2015,1864.9
23.12.2015,1829.4
24.12.2015,1850.9
25.12.2015,1876.9
26.12.2015,1761.0
27.12.2015,1770.0
28.12.2015,1745.0
29.12.2015,1787.7
30.12.2015,1812.0
31.12.2015,1792.0
01.01.2016,1818.0
02.01.2016,1783.0
03.01.2016,1780.0
04.01.2016,1825.0
05.01.2016,1825.0
06.01.2016,1820.0
07.01.2016,1949.0
08.01.2016,1880.0
09.01.2016,1897.0
10.01.2016,1886.0
11.01.2016,1896.0
12.01.2016,1940.0
13.01.2016,1868.0
14.01.2016,1905.0
15.01.2016,1774.9
16.01.2016,1775.0
17.01.2016,1785.0
18.01.2016,1789.0
19.01.2016,1730.0
20.01.2016,1790.0
21.01.2016,1773.0
22.01.2016,1713.0
23.01.2016,1707.3
24.01.2016,1723.0
25.01.2016,1740.0
26.01.2016,1758.0
27.01.2016,1763.0
28.01.2016,1731.9
29.01.2016,1725.0
30.01.2016,1716.0
31.01.2016,1707.9
01.02.2016,1660.0
02.02.2016,1661.0
03.02.2016,1625.0
04.02.2016,1635.0
05.02.2016,1666.0
06.02.2016,1650.0
07.02.2016,1600.0
08.02.2016,1610.0
09.02.2016,1586.4
10.02.2016,1599.7
11.02.2016,1607.8
12.02.2016,1609.0
13.02.2016,1633.0
14.02.2016,1706.0
15.02.2016,1748.0
16.02.2016,1726.6
17.02.2016,1771.9
18.02.2016,1811.9
19.02.2016,1781.2
20.02.2016,1847.0
21.02.2016,1811.0
22.02.2016,1825.0
23.02.2016,1760.5
24.02.2016,1770.0
25.02.2016,1770.0
26.02.2016,1785.3
27.02.2016,1810.0
28.02.2016,1810.0
29.02.2016,1810.1
01.03.2016,1821.0
02.03.2016,1799.0
03.03.2016,1770.0
04.03.2016,1739.0
05.03.2016,1682.0
06.03.2016,1703.3
07.03.2016,1735.0
08.03.2016,1738.0
09.03.2016,1720.0
10.03.2016,1715.0
11.03.2016,1729.2
12.03.2016,1706.8
13.03.2016,1680.0
14.03.2016,1726.0
15.03.2016,1734.0
16.03.2016,1715.9
17.03.2016,1715.0
18.03.2016,1699.0
19.03.2016,1680.0
20.03.2016,1673.6
21.03.2016,1640.6
22.03.2016,1677.3
23.03.2016,1780.0
24.03.2016,1742.6
25.03.2016,1758.0
26.03.2016,1735.0
27.03.2016,1759.0
28.03.2016,1770.0
29.03.2016,1747.2
